"Order  #","Ext","Customer Code","Ship To","Ship To Name","Location","Customer PO No","Carrier","FOB","Attention","Tax Code","Terms","Currency","Total Order Amt","Total Tax","Total Discount","Freight Amt","Total Invoice","Invoice No","Invoice Date","Enter Date","Sch Ship Date","Ship Date","Status","Who Enter","Blanket","Multiple Ship To","Customer Name (from master)"
"1971705","0","C0002574","13076NC","Invoice","NYC","6892670","Kubra","DEST","","E","N0","USD","57.3","0","0","0","57.3","INV0217418","2025-09-03","2025-08-01 5:21","2025-08-01 5:21","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971676","0","C0002574","13076NC","Invoice","NYC","6892620","Kubra","DEST","","E","N0","USD","86.24","0","0","0","86.24","INV0217418","2025-09-03","2025-08-01 4:35","2025-08-01 4:35","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971675","0","C0002574","13076NC","Invoice","NYC","6892619","Kubra","DEST","","E","N0","USD","142.79","0","0","0","142.79","INV0217418","2025-09-03","2025-08-01 4:35","2025-08-01 4:35","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971660","0","C0002574","13076NC","Invoice","NYC","6892618","Kubra","DEST","","E","N0","USD","2.62","0","0","0","2.62","INV0217418","2025-09-03","2025-08-01 3:12","2025-08-01 3:12","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1972351","0","C0002579","13050NC","PDF Btm Addr Bills and Centralized L.","NYC","6894142","Kubra","DEST","","E","N0","USD","4.89","0","0","0","4.89","INV0217419","2025-09-03","2025-08-01 23:12","2025-08-01 23:12","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy North Carolina"
"1972353","0","C0002580","13041NC","PDF Btm Addr Bills and Centralized L.","NYC","6894144","Kubra","DEST","","E","N0","USD","50.02","0","0","0","50.02","INV0217420","2025-09-03","2025-08-01 23:13","2025-08-01 23:13","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy South Carolina"
"1971741","0","C0002584","13092LA","Mail","LA","6892654","Kubra","DEST","","E","N0","USD","5049.25","0","0","0","5049.25","INV0217421","2025-09-03","2025-08-01 6:52","2025-08-01 6:52","2025-08-31","Shipped/Transferred","sa","No","No","Gemini Legal Support Inc."
"1971480","0","C0002584","13092LA","Mail","LA","5025803","Kubra","DEST","","E","N0","USD","0","0","0","0","0","INV0215895","2025-08-04 2:16","2025-08-01 0:53","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Gemini Legal Support Inc."
"1972064","0","C0002585","3500DL","Letter","DAL","6893553","Kubra","DEST","","E14","N0","USD","0.82","0","0","0","0.82","INV0217422","2025-09-03","2025-08-01 13:49","2025-08-01 13:49","2025-08-31","Shipped/Transferred","sa","No","No","Vertex BullHead"
"1971953","0","C0002585","3500DL","Letter","DAL","6893392","Kubra","DEST","","E14","N0","USD","1.64","0","0","0","1.64","INV0217422","2025-09-03","2025-08-01 9:46","2025-08-01 9:46","2025-08-31","Shipped/Transferred","sa","No","No","Vertex BullHead"
"1972285","0","C0002586","12940DL","Letters","DAL","6894039","Kubra","DEST","","E","N0","USD","62.92","0","0","0","62.92","INV0217423","2025-09-03","2025-08-01 21:39","2025-08-01 21:39","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1972279","0","C0002586","12940DL","Letters","DAL","6894035","Kubra","DEST","","E","N0","USD","8.88","0","0","0","8.88","INV0217423","2025-09-03","2025-08-01 21:37","2025-08-01 21:37","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1971997","0","C0002586","12940DL","Letters","DAL","6893541","Kubra","DEST","","E","N0","USD","9.62","0","0","0","9.62","INV0217423","2025-09-03","2025-08-01 11:04","2025-08-01 11:04","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1972290","0","C0002587","12955DL","Bill","DAL","6894034","Kubra","DEST","","E","N0","USD","5690","0","0","0","5690","INV0217424","2025-09-03","2025-08-01 22:15","2025-08-01 22:15","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1972256","0","C0002587","12955DL","Bill","DAL","6893989","Kubra","DEST","","E","N0","USD","189.73","0","0","0","189.73","INV0217424","2025-09-03","2025-08-01 20:55","2025-08-01 20:55","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1971995","0","C0002587","12955DL","Bill","DAL","6893538","Kubra","DEST","","E","N0","USD","3.7","0","0","0","3.7","INV0217424","2025-09-03","2025-08-01 11:04","2025-08-01 11:04","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1971993","0","C0002587","12955DL","Bill","DAL","6893530","Kubra","DEST","","E","N0","USD","39.03","0","0","0","39.03","INV0217424","2025-09-03","2025-08-01 11:03","2025-08-01 11:03","2025-08-31","Shipped/Transferred","sa","No","No","JEA"
"1971750","0","C0002589","13099NC","Legal-sized invoice","NYC","6892964","Kubra","DEST","","E","N0","USD","3265.25","0","0","0","3265.25","INV0217426","2025-09-03","2025-08-01 6:53","2025-08-01 6:53","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971709","0","C0002589","13099NC","Legal-sized invoice","NYC","6892674","Kubra","DEST","","E","N0","USD","105.77","0","0","0","105.77","INV0217426","2025-09-03","2025-08-01 5:22","2025-08-01 5:22","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971708","0","C0002589","13099NC","Legal-sized invoice","NYC","6892673","Kubra","DEST","","E","N0","USD","685.12","0","0","0","685.12","INV0217426","2025-09-03","2025-08-01 5:21","2025-08-01 5:21","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971698","0","C0002589","13099NC","Legal-sized invoice","NYC","6892625","Kubra","DEST","","E","N0","USD","3306.38","0","0","0","3306.38","INV0217426","2025-09-03","2025-08-01 5:20","2025-08-01 5:20","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971679","0","C0002589","13099NC","Legal-sized invoice","NYC","6892623","Kubra","DEST","","E","N0","USD","71.01","0","0","0","71.01","INV0217426","2025-09-03","2025-08-01 4:36","2025-08-01 4:36","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971678","0","C0002589","13099NC","Legal-sized invoice","NYC","6892622","Kubra","DEST","","E","N0","USD","105.31","0","0","0","105.31","INV0217426","2025-09-03","2025-08-01 4:35","2025-08-01 4:35","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
"1971677","0","C0002589","13099NC","Legal-sized invoice","NYC","6892621","Kubra","DEST","","E","N0","USD","15.4","0","0","0","15.4","INV0217426","2025-09-03","2025-08-01 4:35","2025-08-01 4:35","2025-08-31","Shipped/Transferred","sa","No","No","Dominion Energy Virginia"
