Order No,Order Ext,Line No,Location,Part No,Description,Uom,Ordered,Shipped,Price,Ext Price,Status,Sch Ship Date,Req Ship Date,Forwarder Key
1972040,0,43,LA,IX3270,LA - i-doxs Payment Fee - VBS_CC_MC,EA,154160,154160,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,44,LA,IX3271,LA - i-doxs Payment Fee - VBS_CC_VI,EA,491987,491987,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,45,LA,IX3288,LA - i-doxs Payment Fee - CSR_CC_AX,EA,260,260,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,46,LA,IX3289,LA - i-doxs Payment Fee - CSR_CC_DI,EA,18,18,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,47,LA,IX3290,LA - i-doxs Payment Fee - CSR_CC_MC,EA,784,784,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,48,LA,IX3291,LA - i-doxs Payment Fee - CSR_CC_VI,EA,2340,2340,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,49,LA,IX3302,LA - i-doxs Return Fee - VBS,EA,9972,9972,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,50,LA,IX3304,LA - i-doxs Return Fee - IVR,EA,201,201,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,51,LA,IX3305,LA - i-doxs Return Fee - ONE,EA,30,30,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,52,LA,IX3401,LA - i-doxs CheckFree Distribution,EA,35479,35479,0.34,12062.86,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,53,LA,IX3700,LA - i-doxs Remittance Fee,EA,1344643,1344643,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,54,LA,IX3702,LA - i-doxs Remittance Fee - VBS,EA,1250871,1250871,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,55,LA,IX3703,LA - i-doxs Remittance Fee - CSR,EA,3569,3569,0.02,71.38,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,56,LA,IX3704,LA - i-doxs Remittance Fee - IVR,EA,90203,90203,0.02,1804.06,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972040,0,57,LA,IX3750,LA - i-doxs elockbox Fee,EA,1344643,1344643,0,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
