Order  #,Ext,Customer Code,Ship To,Ship To Name,Location,Customer PO No,Carrier,FOB,Attention,Tax Code,Terms,Currency,Total Order Amt,Total Tax,Total Discount,Freight Amt,Total Invoice,Invoice No,Invoice Date,Enter Date,Sch Ship Date,Ship Date,Status,Who Enter,Blanket,Multiple Ship To,,,,,,,,,,,,,,,,,,,,,,
1804079,0,C0000697,3512DL,Notice,DAL,6427600,Kubra,DEST,,E,N0,USD,10.26,0,0,0,10.26,INV0204147,2024-07-02,2024-06-28 10:17,2024-06-28 10:17,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1804069,0,C0000697,3512DL,Notice,DAL,6427558,Kubra,DEST,,E,N0,USD,363.78,0,0,0,363.78,INV0204147,2024-07-02,2024-06-28 10:16,2024-06-28 10:16,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803623,0,C0000697,3519DL,Billv2,DAL,6426356,Kubra,DEST,,E,N0,USD,3307.16,0,0,0,3307.16,INV0204230,2024-07-02,2024-06-27 17:01,2024-06-27 17:01,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803577,0,C0000697,3519DL,Billv2,DAL,6426241,Kubra,DEST,,E,N0,USD,3219.23,0,0,0,3219.23,INV0204230,2024-07-02,2024-06-27 14:01,2024-06-27 14:01,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803514,0,C0000697,3512DL,Notice,DAL,6426073,Kubra,DEST,,E,N0,USD,0.74,0,0,0,0.74,INV0204147,2024-07-02,2024-06-27 10:16,2024-06-27 10:16,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803502,0,C0000697,3519DL,Billv2,DAL,6426030,Kubra,DEST,,E,N0,USD,5.53,0,0,0,5.53,INV0204230,2024-07-02,2024-06-27 10:16,2024-06-27 10:16,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803489,0,C0000697,3512DL,Notice,DAL,6426008,Kubra,DEST,,E,N0,USD,2.93,0,0,0,2.93,INV0204147,2024-07-02,2024-06-27 8:46,2024-06-27 8:46,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803059,0,C0000697,3519DL,Billv2,DAL,,Kubra,DEST,Julie Petty,E,N0,USD,500,0,0,0,500,INV0203672,2024-07-02 1:21,2024-06-26 17:24,2024-06-30,2024-06-30,Shipped/Transferred,FMarquez,No,No,,,,,,,,,,,,,,,,,,,,,,
1803058,0,C0000697,3519DL,Billv2,DAL,,Kubra,DEST,,E,N0,USD,270.69,0,0,0,270.69,INV0203671,2024-07-02 1:21,2024-06-26 17:23,2024-06-30,2024-06-30,Shipped/Transferred,FMarquez,No,No,,,,,,,,,,,,,,,,,,,,,,
1803050,0,C0000697,3519DL,Billv2,DAL,6424795,Kubra,DEST,,E,N0,USD,3515.71,0,0,0,3515.71,INV0204230,2024-07-02,2024-06-26 17:00,2024-06-26 17:00,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802998,0,C0000697,3519DL,Billv2,DAL,6424678,Kubra,DEST,,E,N0,USD,0.91,0,0,0,0.91,INV0204230,2024-07-02,2024-06-26 13:16,2024-06-26 13:16,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802961,0,C0000697,3512DL,Notice,DAL,6424592,Kubra,DEST,,E,N0,USD,2.93,0,0,0,2.93,INV0204147,2024-07-02,2024-06-26 11:45,2024-06-26 11:45,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802955,0,C0000697,3512DL,Notice,DAL,6424553,Kubra,DEST,,E,N0,USD,7.34,0,0,0,7.34,INV0204147,2024-07-02,2024-06-26 11:00,2024-06-26 11:00,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802945,0,C0000697,3512DL,Notice,DAL,6424500,Kubra,DEST,,E,N0,USD,30.8,0,0,0,30.8,INV0204147,2024-07-02,2024-06-26 10:17,2024-06-26 10:17,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802917,0,C0000697,3512DL,Notice,DAL,6424457,Kubra,DEST,,E,N0,USD,35.2,0,0,0,35.2,INV0204147,2024-07-02,2024-06-26 8:47,2024-06-26 8:47,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802530,0,C0000697,3519DL,Billv2,DAL,6423340,Kubra,DEST,,E,N0,USD,3387.54,0,0,0,3387.54,INV0204230,2024-07-02,2024-06-25 18:30,2024-06-25 18:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802441,0,C0000697,3512DL,Notice,DAL,6423101,Kubra,DEST,,E,N0,USD,22.09,0,0,0,22.09,INV0204147,2024-07-02,2024-06-25 12:31,2024-06-25 12:31,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802415,0,C0000697,3519DL,Billv2,DAL,6423019,Kubra,DEST,,E,N0,USD,1861.97,0,0,0,1861.97,INV0204230,2024-07-02,2024-06-25 11:01,2024-06-25 11:01,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1802386,0,C0000697,3512DL,Notice,DAL,6422913,Kubra,DEST,,E,N0,USD,1243.75,0,0,0,1243.75,INV0204147,2024-07-02,2024-06-25 9:30,2024-06-25 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801380,0,C0000697,3519DL,Billv2,DAL,6419651,Kubra,DEST,,E,N0,USD,2271.63,0,0,0,2271.63,INV0204230,2024-07-02,2024-06-21 17:45,2024-06-21 17:45,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801346,0,C0000697,3519DL,Billv2,DAL,6419552,Kubra,DEST,,E,N0,USD,0.8,0,0,0,0.8,INV0204230,2024-07-02,2024-06-21 14:45,2024-06-21 14:45,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801336,0,C0000697,3519DL,Billv2,DAL,6419494,Kubra,DEST,,E,N0,USD,3843.83,0,0,0,3843.83,INV0204230,2024-07-02,2024-06-21 14:00,2024-06-21 14:00,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801321,0,C0000697,3512DL,Notice,DAL,6419433,Kubra,DEST,,E,N0,USD,13.24,0,0,0,13.24,INV0204147,2024-07-02,2024-06-21 12:30,2024-06-21 12:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
